,Date,Phase (degrees), Distance (M) ,Declination (degrees),Azimuth (degrees),Altitude (degrees)
3381,9:57:40 PM,58," 383,805,188 ",10.66198503,121.4253957,40.97351258
3382,9:57:40 PM,68," 389,219,913 ",13.89868572,107.6953425,35.89818683
3383,9:57:40 PM,77," 394,032,263 ",16.38527809,96.17888544,29.54219036
3384,9:57:40 PM,84," 398,148,994 ",18.0427221,86.40129887,22.37070346
3385,9:57:40 PM,91," 401,543,355 ",18.8247371,77.85491538,14.70153141
3386,9:57:40 PM,95," 404,227,746 ",18.7220487,70.10004836,6.775406365
3387,9:57:40 PM,98," 406,228,013 ",17.76470168,62.76607809,-0.735965584
3388,9:57:40 PM,100," 407,561,849 ",16.01961245,55.5212213,-9.66191987
3389,9:57:40 PM,99," 408,223,960 ",13.5831946,48.03479437,-17.74480416
3390,9:57:40 PM,97," 408,179,933 ",10.57133085,39.93666254,-25.60034305
3391,9:57:40 PM,93," 407,368,500 ",7.109884821,30.77596159,-33.04173683
3392,9:57:40 PM,88," 405,712,960 ",3.328324659,19.99484265,-39.79293487
3393,9:57:40 PM,81," 403,139,403 ",-0.642193415,6.979692627,-45.43453794
3394,9:57:40 PM,73," 399,600,665 ",-4.666031606,351.3393306,-49.36729598
3395,9:57:40 PM,63," 395,102,878 ",-8.596171026,333.5111981,-50.89459117
3396,9:57:40 PM,53," 389,732,319 ",-12.26469863,315.1459395,-49.52291843
3397,9:57:40 PM,43," 383,677,949 ",-15.47377881,298.2487618,-45.27144327
3398,9:57:40 PM,32," 377,245,135 ",-17.99318976,283.8424722,-38.60006623
3399,9:57:40 PM,22," 370,852,760 ",-19.57390431,271.8205196,-30.08671695
3400,9:57:40 PM,13," 365,007,135 ",-19.98662548,261.5729136,-20.235851
3401,9:57:40 PM,6," 360,247,171 ",-19.08311336,252.4220993,-9.466170064
3402,9:57:40 PM,2," 357,063,262 ",-16.85724249,243.7437702,2.125612075
3403,9:57:40 PM,0," 355,805,637 ",-13.47037709,234.9378805,13.34552798
3404,9:57:40 PM,2," 356,609,477 ",-9.222383338,225.3488823,24.45002308
3405,9:57:40 PM,6," 359,364,716 ",-4.484200286,214.175854,34.74022388
3406,9:57:40 PM,13," 363,742,648 ",0.373312822,200.4497829,43.54147246
3407,9:57:40 PM,21," 369,267,684 ",5.028160137,183.3438336,49.99999006
3408,9:57:40 PM,31," 375,407,705 ",9.227327295,163.2290221,53.19752947
3409,9:57:40 PM,41," 381,654,868 ",12.78597532,142.638966,52.67646458
3410,9:57:40 PM,51," 387,582,312 ",15.57721352,124.6333033,48.90674657
3411,9:57:40 PM,61," 392,872,550 ",17.5211389,110.3352926,42.8967914
3412,9:57:40 PM,70," 397,323,488 ",18.57723124,99.21156456,35.53500176
3413,9:57:40 PM,78," 400,838,088 ",18.74034978,90.33207274,27.38743302
3414,9:57:40 PM,86," 403,404,191 ",18.03841812,82.91581918,18.7781008
3415,9:57:40 PM,92," 405,070,076 ",16.5296824,76.39085067,9.904454765
3416,9:57:40 PM,96," 405,918,152 ",14.29854959,70.32925585,1.107896065
3417,9:57:40 PM,99," 406,040,202 ",11.45028689,64.37456032,-8.457035226
3418,9:57:40 PM,100," 405,516,685 ",8.105583158,58.17699693,-17.64565884
3419,9:57:40 PM,99," 404,402,113 ",4.396061207,51.3265938,-26.72853321
3420,9:57:40 PM,97," 402,718,638 ",0.461503439,43.26798144,-35.53573942
3421,9:57:40 PM,92," 400,458,947 ",-3.550856022,33.18755454,-43.77989387
3422,9:57:40 PM,86," 397,598,413 ",-7.484975703,19.93054325,-50.94857698
3423,9:57:40 PM,78," 394,115,232 ",-11.1731162,2.306451152,-56.15753538
3424,9:57:40 PM,69," 390,016,300 ",-14.43291425,340.6181465,-58.18958496
3425,9:57:40 PM,59," 385,364,837 ",-17.06739869,318.3859627,-56.20266927
3426,9:57:40 PM,48," 380,305,288 ",-18.87254087,299.6690587,-50.54123133
3427,9:57:40 PM,37," 375,079,105 ",-19.65723538,285.4135523,-42.25926837
3428,9:57:40 PM,26," 370,024,746 ",-19.27700235,274.5513659,-32.27648243
3429,9:57:40 PM,17," 365,555,347 ",-17.67419366,265.82681,-21.19401213
3430,9:57:40 PM,9," 362,110,515 ",-14.90891541,258.2902973,-9.417875503
3431,9:57:40 PM,3," 360,086,110 ",-11.16504095,251.2360506,2.957679381
3432,9:57:40 PM,0," 359,756,535 ",-6.726823058,244.0560465,14.96039388
3433,9:57:40 PM,1," 361,211,689 ",-1.934972486,236.0939857,26.79806965
3434,9:57:40 PM,4," 364,331,787 ",2.862586903,226.4818878,37.90872131
3435,9:57:40 PM,9," 368,807,944 ",7.351829767,213.9641044,47.69624239
3436,9:57:40 PM,16," 374,200,656 ",11.27835641,196.9669874,55.2693649
3437,9:57:40 PM,25," 380,015,316 ",14.4573789,174.9546947,59.38724498
3438,9:57:40 PM,34," 385,772,539 ",16.77217871,151.2179842,59.11841556
3439,9:57:40 PM,44," 391,061,244 ",18.16627547,131.0471105,54.93304639
3440,9:57:40 PM,54," 395,569,480 ",18.6331774,116.1615055,48.23189314
3441,9:57:40 PM,63," 399,096,445 ",18.20579045,105.3796898,40.15759525
3442,9:57:40 PM,72," 401,549,416 ",16.94653492,97.22735363,31.340043
3443,9:57:40 PM,80," 402,931,285 ",14.93901805,90.6688079,22.08875838
3444,9:57:40 PM,87," 403,321,258 ",12.28207117,85.03459851,12.56351571
3445,9:57:40 PM,93," 402,851,590 ",9.08654919,79.8655933,2.962663925
3446,9:57:40 PM,97," 401,682,507 ",5.474640699,74.79863112,-7.153482095
3447,9:57:40 PM,99," 399,977,228 ",1.580935533,69.48139715,-17.20783347
3448,9:57:40 PM,100," 397,880,060 ",-2.445748286,63.4871958,-27.21731008
3449,9:57:40 PM,99," 395,500,096 ",-6.440841469,56.19426472,-37.0620374
3450,9:57:40 PM,95," 392,904,003 ",-10.22386838,46.58272689,-46.44282754
3451,9:57:40 PM,90," 390,119,053 ",-13.6008709,32.94553703,-54.76466173
3452,9:57:40 PM,82," 387,147,267 ",-16.37102468,13.04523359,-60.84383746
3453,9:57:40 PM,73," 383,988,019 ",-18.33930973,347.0419121,-62.84700217
