FID,X,Y,Call_Taken,Location,Day,x2,y2
78,-10383070.18945,5616173.572947,12/29/2015 12:00:00 AM,1723 3rd ave s,Day 1,-10383070.1894488,5616173.57294661
79,0,0,12/29/2015 12:00:00 AM,1603 24th AV s,Day 1
80,-10383070.364566,5614694.004461,12/29/2015 12:00:00 AM,2539 3rd ave s,Day 1,-10383070.3645651,5614694.00446083
81,-10385434.084318,5618901.537147,12/29/2015 12:00:00 AM,502 van white memorial,Day 1,-10385434.0843174,5618901.53714667
82,0,0,12/29/2015 12:00:00 AM,525 N 2ND ST,Day 1
83,-10383082.381394,5616173.528625,12/29/2015 12:00:00 AM,1722 3rd Ave S,Day 1,-10383082.3813926,5616173.52862471
84,-10380798.270689,5615083.77934,12/29/2015 12:00:00 AM,1527 24th st e,Day 1,-10380798.2706884,5615083.77933953
85,-10378654.311758,5614463.355463,12/29/2015 12:00:00 AM,2623 27th ave s,Day 1,-10378654.3117571,5614463.35546332
86,-10383082.766948,5611919.987959,12/29/2015 12:00:00 AM,3530 3rd ave s,Day 1,-10383082.7669468,5611919.98795861
87,0,0,12/29/2015 12:00:00 AM,14th and washington,Day 1
88,-10383068.249494,5615344.984283,12/29/2015 12:00:00 AM,2213 3rd ave s,Day 1,-10383068.2494927,5615344.9842829
89,-10383069.370065,5615069.464521,12/29/2015 12:00:00 AM,2409 3rd Ave s.,Day 1,-10383069.370064,5615069.46452129
90,-10387648.168025,5622748.576561,12/29/2015 12:00:00 AM,2635 27th ave,Day 1,-10387648.1680236,5622748.5765613
91,-10381501.359581,5619502.863189,12/29/2015 12:00:00 AM,1 Lourdes Place,Day 1,-10381501.3595804,5619502.86318862
92,-10383999.206615,5619274.301351,12/29/2015 12:00:00 AM,702 5th st n,Day 1,-10383999.206614,5619274.30135062
93,0,0,12/29/2015 12:00:00 AM,160 w 15th st,Day 1
94,-10378430.48905,5615755.467596,12/29/2015 12:00:00 AM,2816 riverside ave,Day 1,-10378430.4890487,5615755.46759643
95,-10383067.962732,5615603.970653,12/29/2015 12:00:00 AM,2029 3rd ave s,Day 1,-10383067.9627311,5615603.97065265
