Club,Last Name,First Name,Position,Salary,Compensation,Year
FC Dallas,Ulloa,Victor,M,60000,60000,2015
Portland Timbers,Urruti,Maximiliano,F,200000.04,200000.04,2015
Seattle Sounders FC,Valdez,Nelson,F,960000,1215000,2015
Portland Timbers,Valeri,Diego,M,550000,550000,2015
Real Salt Lake,Vasquez,Elias,D,110000,122136.67,2015
LA Galaxy,Vayrynen,Mika,M,204996,227496,2015
New York City FC,Velasquez,Sebastian,M,60000,60000,2015
Montreal Impact,Venegas,Johan,M,120000,132500,2015
New York Red Bulls,Veron,Gonzalo,M-F,200004,200004,2015
New York City FC,Villa,David,F,5610000,5610000,2015
Portland Timbers,Villafana,Jorge,F,130000,135000,2015
LA Galaxy,Villarreal,Jose,M,60000,61875,2015
Philadelphia Union,Vitoria,Steven,D,400000,400000,2015
Columbus Crew,Wahl,Tyson,D,95000,99666.67,2015
LA Galaxy,Walker,Kenney,M,60000,60000,2015
New York Red Bulls,Wallace,Anthony,M-D,60000,60000,2015
Portland Timbers,Wallace,Rodney,M-D,165000,190000,2015
Toronto FC,Warner,Collen,M-F,129937,157437,2015
Vancouver Whitecaps,Waston,Kendall,D,225000,226250,2015
FC Dallas,Watson,Jevaughn,M-D,160000,180000,2015
Chicago Fire,Watson,Matt,M,80620,91689.16,2015
New York City FC,Watson-Siriboe,Kwame,D,65000,81666.67,2015
Colorado Rapids,Watts,Jared,M,60000,60000,2015
Portland Timbers,Weber,Andrew,GK,60000,60000,2015
Philadelphia Union,Wenger,Andrew,D/F,180000,282000,2015
Philadelphia Union,White,Ethan,D,125000,125000,2015
Toronto FC,Williams,Josh,D,125000,125000,2015
Montreal Impact,Williams,Romario,F,65000,87000,2015
Houston Dynamo,Williams,Sheanon,F,145000,150500,2015
Houston Dynamo,Willis,Joe,GK,90000,90000,2015
New York City FC,Wingert,Chris,D,215000,215000,2015
Orlando City SC,Winter,Adrian,M,180000,198333.33,2015
LA Galaxy,Wolverton,Andrew,GK,50000.04,50000.04,2015
San Jose Earthquakes,Wondolowski,Chris,M,625000,675000,2015
New England Revolution,Woodberry,London,D,60000,60000,2015
DC United,Worra,Travis,GK,50000,50000,2015
New York Red Bulls,Wright-Phillips,Bradley,F,600000,660000,2015
New York Red Bulls,Wright-Phillips,Shaun,M,116004,145704,2015
San Jose Earthquakes,Wynne,Marvell,D,190000,200625,2015
LA Galaxy,Zardes,Gyasi,F,150000,223000,2015
Toronto FC,Zavaleta,Eriq,F,85000,115600,2015
Portland Timbers,Zemanski,Ben,M,81033,83533,2015
FC Dallas,Zendejas,Alejandro,F,60000,76666.67,2015
FC Dallas,Zimmerman,Walker,D,100000,180100,2015
New York Red Bulls,Zizzo,Sal,F,80850,94895.71,2015
New York Red Bulls,Zubar,Ronald,D,240000,320000,2015
Sporting Kansas City,Zusi,Graham,F-M,650000,682102.27,2015
New York Red Bulls,Abang,Anatole,F,62500,62500,2016
New York Red Bulls,Adams,Tyler,M,65000,81041.67,2016
New York Red Bulls,Allen,Brandon,F,62500,62500,2016
Sporting Kansas City,Abdul-Salaam,Saad,D,63000,76750,2016
Sporting Kansas City,Alvarado,Ever,D,51500.04,75166.71,2016
Chicago Fire,Accam,David,F-M,700000,770937.5,2016
Chicago Fire,Alvarez,Arturo,M,115000,118264,2016
Columbus Crew,Afful,Harrison,D,275000,291666.67,2016
Real Salt Lake,Acosta,Danilo,M,62500,62500,2016
Real Salt Lake,Allen,Jordan,M,100000,110000,2016
FC Dallas,Acosta,Kellyn,M,220000,240000,2016
FC Dallas,Akindele,Tesho,F-M,80000,97500,2016
DC United,Acosta,Luciano,M-F,327272.76,429272.76,2016
DC United,Aguilar,Miguel,M,63000,63000,2016
Houston Dynamo,Alexander,Eric,M,165000,178750,2016
Vancouver Whitecaps,Adekugbe,Samuel,D,70000,75000,2016
Vancouver Whitecaps,Aird,Fraser,D-M,51500,58625,2016
Portland Timbers,Adi,Fanendo,F,640000,712500,2016
New England Revolution,Agudelo,Juan,F,425000,452500,2016
Orlando City SC,Aja,Jose,D,192000,192000,2016
Orlando City SC,Alston,Kevin,D,130000,130000,2016
New York City FC,Allen,RJ,D,63000,63000,2016
San Jose Earthquakes,Alashe,Fatai,M,74250,90500,2016
Philadelphia Union,Alberg,Roland,M,328000,377250,2016
Seattle Sounders FC,Alfaro,Tony,D,51500,51500,2016
Seattle Sounders FC,Alonso,Osvaldo,M,900000,941667,2016
Toronto FC,Altidore,Jozy,F,4825000,4825000,2016
FC Dallas,Alves Dos Santos,Getterson,F,144000,174500,2016
San Jose Earthquakes,Amarikwa,Quincy,F,247000,260666.67,2016
Orlando City SC,Ambrose,Mikey,D,62496,62496,2016
Seattle Sounders FC,Anderson,Oalex,F,51504,51504,2016
Portland Timbers,Andriuskevicius,Vytautas,D,184992,204992,2016
Houston Dynamo,Anibaba,Jalil,D,62500,62500,2016
Sporting Kansas City,Anor,Bernardo,M,132624,132624,2016
Sporting Kansas City,Appiah,Emmanuel,M,51499.92,51499.92,2016
Houston Dynamo,Arboleda,Yair,M,62499.96,62499.96,2016
DC United,Arnaud,Davy,M,212500,212500,2016
Portland Timbers,Arokoyo,Gbenga,D,90000,110600,2016
Chicago Fire,Arshakyan,David,F,120000,142850,2016
Columbus Crew,Ashe,Corey,D,95000,105500,2016
Portland Timbers,Asprilla,Dairon,M-F,76000,126000,2016
Real Salt Lake,Attinella,Jeff,GK,90000,95083.33,2016
Philadelphia Union,Ayuk,Eric,M,62500,62500,2016
Colorado Rapids,Azira,Michael,M,63000,65826.88,2016
New York Red Bulls,Baah,Gideon,D,230000,315500,2016
Toronto FC,Babouli,Mo,F,51500,51500,2016
Colorado Rapids,Badji,Dominique,F,53472,53472,2016
Real Salt Lake,Baez Benitez,Pedro,F,62499.96,94324.96,2016
New York City FC,Ballouchy,Mehdi,M,71662.5,86662.5,2016
Orlando City SC,Baptista,Julio,M-F,90000,90000,2016
Portland Timbers,Barmby,Jack,M-F,72000,73800,2016
New England Revolution,Barnes,Darrius,D,110000,116666.67,2016
Vancouver Whitecaps,Barnes,Giles,F-M,700000,756250,2016
Philadelphia Union,Barnetta,Tranquillo,M,650000,709100,2016
San Jose Earthquakes,Barrera,Leandro,F,75000,75000,2016
San Jose Earthquakes,Barrett,Chad,F,90000,95500,2016
FC Dallas,Barrios,Michael,M,70000,70000,2016
Orlando City SC,Barry,Hadji,F,62500,67062.5,2016
Columbus Crew,Barson,Chad,D,63000,63000,2016
Houston Dynamo,Beasley,DaMarcus,D,750000,813333.33,2016
Real Salt Lake,Beckerman,Kyle,M,675000,750000,2016
Philadelphia Union,Bedoya,Alejandro,M,1100004,1166254,2016
Toronto FC,Beitashour,Steven,D,230000,244000,2016
Montreal Impact,Bekker,Kyle,M,67941.5,94191.5,2016
Real Salt Lake,Beltran,Anthony,D,210000,220950,2016
Orlando City SC,Bendik,Joe,GK,140000,147666.67,2016
Montreal Impact,Bernardello,Hernan,M,216000,216000,2016
San Jose Earthquakes,Bernardez,Victor,D,210000,251600,2016
Colorado Rapids,Berner,John,GK,63000,63000,2016
Montreal Impact,Bernier,Patrice,M,95000,140000,2016
Sporting Kansas City,Besler,Matt,D,700000,733250,2016
Portland Timbers,Besler,Nick,M,62500,62500,2016
New York Red Bulls,Bilyeu,Justin,D,51500,51500,2016
San Jose Earthquakes,Bingham,David,GK,145000,152750,2016
DC United,Birnbaum,Steven,D,86350,116350,2016
Montreal Impact,Bitolo,Ambroise,D,100000,100000,2016
Philadelphia Union,Blake,Andre,GK,100000,138000,2016
Toronto FC,Bloom,Mark,D,94500,101848.89,2016
LA Galaxy,Boateng,Emmanuel,F,100000,100000,2016
Orlando City SC,Boden,Luke,D,82500,82500,2016
Vancouver Whitecaps,Bolanos,Christian,M,250000,253500,2016
FC Dallas,Bonner,Colin,F,51504,51504,2016
Toronto FC,Bono,Alex,GK,65000,85200,2016
Portland Timbers,Borchers,Nat,D,245000,255000,2016
DC United,Boswell,Bobby,D,260000,260000,2016
Toronto FC,Bradley,Michael,M,6000000,6500000,2016
New York City FC,Brandt,Connor,M-D,53472,53472,2016
New York City FC,Bravo,Federico,M,110000,110000,2016
Portland Timbers,Brett,Neco,M,51504,51504,2016
New York City FC,Brilliant,Frederic,D,260000,299666.67,2016
Houston Dynamo,Brown,Calle,GK,51500,51500,2016
Houston Dynamo,Brown,Keyner,D,108000,108000,2016
Houston Dynamo,Bruin,Will,F,310000,311666.67,2016
DC United,Buescher,Julian,M,70000,84700,2016
New England Revolution,Bunbury,Teal,F,205000,250000,2016
Colorado Rapids,Burch,Marc,D,120000,120000,2016
Atlanta United,Burgos,Efrain,M,62508,62508,2016
Colorado Rapids,Burling,Bobby,D,110000,116000,2016
Montreal Impact,Bush,Evan,GK,117500,117500,2016
Vancouver Whitecaps,Bustos,Marco,M,62500,67350,2016
Montreal Impact,Cabrera,Victor,D,250000,250000,2016
New England Revolution,Caldwell,Scott,M,100000,110000,2016
Chicago Fire,Calistri,Joey,M,51500,51500,2016
Colorado Rapids,Calvert,Caleb,F,75000,82500,2016
Montreal Impact,Camara,Hassoun,D,180000,180000,2016
Chicago Fire,Campbell,Jonathan,D,70000,78125,2016
New England Revolution,Cande,Mamadu,D,75000,82287.5,2016
Vancouver Whitecaps,Carducci,Marco,GK,63000,63000,2016
Orlando City SC,Carrasco,Servando,M,95000,99625,2016
Philadelphia Union,Carroll,Brian,M,120000,128000,2016
Columbus Crew,Casey,Conor,F,105000,105000,2016
Colorado Rapids,Castillo,Dennis,D,51500.04,51500.04,2016
FC Dallas,Castillo,Fabian,M-F,155750,170750,2016
San Jose Earthquakes,Cato,Cordell,M,112500,114166.67,2016
San Jose Earthquakes,Ceren,Darwin,M,150000,199375,2016
New York City FC,Chanot,Maxime,D,350004,383004,2016
Toronto FC,Chapman,Jay,M,75000,93500,2016
Portland Timbers,Chara,Diego,M,150000,172000,2016
Toronto FC,Cheyrou,Benoit,M,150000,159333.33,2016
Montreal Impact,Choiniere,David,M,51500,51500,2016
Montreal Impact,Ciman,Laurent,D,630000,661666.67,2016
Houston Dynamo,Clark,Ricardo,M,319200,356700,2016
Columbus Crew,Clark,Steve,GK,220000,238333.33,2016
Chicago Fire,Cocis,Razvan,M,160000,160000,2016
Sporting Kansas City,Coelho,Nuno,D,275000,412500,2016
LA Galaxy,Cole,Ashley,D,300000,327625,2016
New York Red Bulls,Collin,Aurelien,D,500000,525000,2016
San Jose Earthquakes,Colvey,Kip,D,51499.92,51499.92,2016
Philadelphia Union,Conceicao,Anderson,D,150000,174166.67,2016
Chicago Fire,Conner,Drew,M,62500,62500,2016
Toronto FC,Cooper,Armando,M,180000,193333.33,2016
FC Dallas,Craft,Coy,F-M,70000,87083.33,2016
Philadelphia Union,Creavalle,Warren,M,118000,125666.67,2016
Montreal Impact,Crepeau,Maxime,GK,52500,52500,2016
Colorado Rapids,Cronin,Sam,M,225000,227500,2016
New England Revolution,Cropper,Cody,F,62508,62508,2016
LA Galaxy,Da Silva,Leonardo,D,160000,165000,2016
New York Red Bulls,Damari,Omer,F,228499.92,228499.92,2016
FC Dallas,David,Aubrey,D,62508,83674.67,2016
Vancouver Whitecaps,Davies,Alphonso,M,62499.96,62499.96,2016
Philadelphia Union,Davies,Charlie,F,108937.5,113315.63,2016
Sporting Kansas City,Davis,Brad,M,355000,355000,2016
New York Red Bulls,Davis,Sean,M,90000,107500,2016
San Jose Earthquakes,Dawkins,Simon,M,800000,800000,2016
Vancouver Whitecaps,de Jong,Marcel,D-M,62499.96,62499.96,2016
Chicago Fire,De Leeuw,Michael,F,450000,514212.5,2016
Vancouver Whitecaps,Dean,Christian,D,110000,191000,2016
LA Galaxy,DeLaGarza,AJ,D,225000,227500,2016
DC United,DeLeon,Nick,M,235000,235000,2016
Toronto FC,Delgado,Marco,M,100000,102500,2016
Seattle Sounders FC,Dempsey,Clint,F,3913008,4605941.5,2016
Houston Dynamo,Deric,Tyler,GK,170000,170000,2016
Montreal Impact,Dia,Amadou,D,51500,51500,2016
FC Dallas,Diaz,Mauro,M,466000,562890,2016
LA Galaxy,Diop,Clement,GK,62500,62500,2016
New York City FC,Diskerud,Mix,M,761250,761250,2016
Montreal Impact,Donadel,Marco,M,350000,386666.67,2016
Orlando City SC,Donovan,Conor,D,90000,118000,2016
LA Galaxy,Donovan,Landon,F,456000,456000,2016
Chicago Fire,Doody,Patrick,D,53471,53471,2016
LA Galaxy,Dos Santos,Giovani,F,2500000,4250000,2016
Colorado Rapids,Doyle,Conor,F,66000,67250,2016
Colorado Rapids,Doyle,Kevin,F,1075000,1120000,2016
Montreal Impact,Drogba,Didier,F,1666667,2191667,2016
Columbus Crew,Duka,Dilly,M,62508,62508,2016
DC United,Durkin,Chris,D-M,51504,60670.67,2016
New York Red Bulls,Duvall,Chris,D,63000,63000,2016
Sporting Kansas City,Dwyer,Dom,F,500000,618750,2016
DC United,Dykstra,Andrew,GK,75000,85700,2016
,Ebobisse,Jeremy,F,53000.04,96000.04,2016
Vancouver Whitecaps,Edgar,David,D,105000,113416.67,2016
Philadelphia Union,Edu,Maurice,M,725000,793750,2016
Orlando City SC,Edwards,Earl,GK,52500,52500,2016
Sporting Kansas City,Ellis,Kevin,D,72000,75150,2016
San Jose Earthquakes,Emeghara,Innocent,F,988000,1300000,2016
Toronto FC,Endoh,Tsubasa,F,51500,51500,2016
Houston Dynamo,Escalante,Jose,M,51499.92,51499.92,2016
Sporting Kansas City,Espinoza,Roger,M,800000,800000,2016
New York Red Bulls,Etienne,Derrick,M,51500,56500,2016
Seattle Sounders FC,Evans,Brad,D-M,276665,315166.25,2016
Philadelphia Union,Fabinho,Fabinho,D,142008,150008,2016
New England Revolution,Fagundez,Diego,M,145000,165000,2016
Seattle Sounders FC,Farfan,Michael,M,80000,80000,2016
New England Revolution,Farrell,Andrew,D,148500,229500,2016
Sporting Kansas City,Feilhaber,Benny,M,400000,412187.5,2016
Philadelphia Union,Fernandes,Leo,M,63000,63000,2016
Seattle Sounders FC,Fernandez,Alvaro,M,264000,294000,2016
Chicago Fire,Fernandez,Collin,M,75000,77000,2016
Real Salt Lake,Fernandez,Eduardo,GK,63000,63000,2016
FC Dallas,Figueroa,Maynor,D,115000,138333.33,2016
Columbus Crew,Finlay,Ethan,M,250000,250000,2016
Montreal Impact,Fisher,Kyle,D,65000,73375,2016
Seattle Sounders FC,Fisher,Oniel,M-D,62500,62500,2016
Vancouver Whitecaps,Flores,Deybi,M,62500,68385,2016
San Jose Earthquakes,Francis,Shaun,D,95000,103333.33,2016
Columbus Crew,Francis,Waylon,D,200000,224375,2016
DC United,Franklin,Sean,D,225000,256666.67,2016
Seattle Sounders FC,Frei,Stefan,GK,200000,206250,2016
Seattle Sounders FC,Friberg,Erik,M,240000,262500,2016
Vancouver Whitecaps,Froese,Kianz,M,66000,70500,2016
Philadelphia Union,Gaddis,Raymon,D,150000,152500,2016
Montreal Impact,Gagnon-Lapare,Jeremy,M,51500,51500,2016
Houston Dynamo,Garcia,Boniek,M,225000,247500,2016
Orlando City SC,Garcia,Devron,M-F,62500,70937.5,2016
Houston Dynamo,Garcia,Kevin,D,62508,62508,2016
Real Salt Lake,Garcia,Olmes,F,160000,160000,2016
LA Galaxy,Garcia,Rafael,M,75000,75000,2016
,Gargan,Dan,D,145000,145000,2016
Colorado Rapids,Gashi,Shkelzen,F,1575000,1668750,2016
Chicago Fire,Gehrig,Eric,D,106875,112708.33,2016
LA Galaxy,Gerrard,Steven,M,6000000,6132500,2016
Toronto FC,Giovinco,Sebastian,F,5600000,7115555.67,2016
Real Salt Lake,Glad,Justen,D,100000,111000,2016
Portland Timbers,Gleeson,Jake,GK,91556,96722.67,2016
San Jose Earthquakes,Godoy,Anibal,M,216000,242250,2016
San Jose Earthquakes,Goitom,Henok,F,682800,729300,2016
Seattle Sounders FC,Gomez,Herculez,F,62500.08,62500.08,2016
New York City FC,Gomez,Shannon,D,51500.04,51500.04,2016
New England Revolution,Goncalves,Jose,D,450000,479375,2016
FC Dallas,Gonzalez,Jesse,GK,67500,76875,2016
San Jose Earthquakes,Goodson,Clarence,D,315000,342000,2016
Chicago Fire,Goossens,John,M,200000,203333.33,2016
LA Galaxy,Gordon,Alan,F,170000,170000,2016
Portland Timbers,Grabavoy,Ned,M,150000,150000,2016
Colorado Rapids,Greenspan,Joseph,D,51500.04,52969.12,2016
New York Red Bulls,Grella,Mike,F,155000,157250,2016
FC Dallas,Gruezo,Carlos,M,450000,686500,2016
FC Dallas,Guillen,Aaron,D,51500,51500,2016
Toronto FC,Hagglund,Nick,D,63000,63000,2016
Colorado Rapids,Hairston,Marlon,D-M,90000,113000,2016
Sporting Kansas City,Hallisey,Connor,M,63000,76750,2016
DC United,Hamid,Bill,GK,325000,370500,2016
Toronto FC,Hamilton,Jordan,F,66150,78650,2016
Portland Timbers,Hamilton,Wade,GK,51504,51504,2016
Chicago Fire,Harrington,Michael,D,125000,125000,2016
FC Dallas,Harris,Atiba,M-F,143000,143000,2016
New York City FC,Harrison,Jack,M,125000,160500,2016
Vancouver Whitecaps,Harvey,Jordan,D,165000,165000,2016
Orlando City SC,Heath,Harrison,M,63000,63000,2016
FC Dallas,Hedges,Matt,D,152000,152000,2016
Philadelphia Union,Herbers,Fabian,M-F,100000,125500,2016
New England Revolution,Herivaux,Zachary,M,62500,62500,2016
FC Dallas,Herman,Ryan,GK,62508,62508,2016
New York City FC,Hernandez,Jason,D,200000,210000,2016
FC Dallas,Hernandez,Moises,D,100000,105000,2016
Columbus Crew,Higuain,Federico,M,1175000,1175000,2016
Orlando City SC,Higuita,Cristian,M,80000,80000,2016
Orlando City SC,Hines,Sebastian,D,150000,151250,2016
New England Revolution,Hollinger-Janzen,Femi,F,51500.04,51500.04,2016
FC Dallas,Hollingshead,Ryan,M-D,122500,122500,2016
Columbus Crew,Hollingsworth,Marshall,M,51499.92,51499.92,2016
Real Salt Lake,Holness,Omar,F,100000,123500,2016
Houston Dynamo,Horst,David,D,88593.75,91343.75,2016
DC United,Horton,Charlie,GK,69999.96,76166.63,2016
Colorado Rapids,Howard,Tim,GK,2100000,2575000,2016
Vancouver Whitecaps,Hurtado,Erik,F/M,86091.5,121091.5,2016
LA Galaxy,Husidic,Baggio,M,150000,150000,2016
Houston Dynamo,Ibeagha,Sebastien,D,62500,62500,2016
DC United,Igboananike,Kennedy,F,800000,901666.67,2016
Philadelphia Union,Ilsinho,Ilsinho,M,430000,478333.33,2016
San Jose Earthquakes,Imperiale,Andres,D,85000,87500,2016
Houston Dynamo,Iniguez,Agustin,D,132000,132000,2016
New York City FC,Iraola,Andoni,D,200004,200004,2016
Toronto FC,Irwin,Clint,GK,95625,107625,2016
Seattle Sounders FC,Ivanschitz,Andreas,M,250000,271250,2016
Montreal Impact,Jackson-Hamel,Anthony,F,63000,63000,2016
Vancouver Whitecaps,Jacobson,Andrew,M,62500.08,87500.08,2016
Columbus Crew,Jahn,Adam,F,67500,67500,2016
LA Galaxy,Jamieson,Bradford,F,63000,63000,2016
DC United,Jeffrey,Jared,M,71662.5,77862.5,2016
Portland Timbers,Jewsbury,Jack,M,140000,147000,2016
Columbus Crew,Jimenez,Hector,M,105000,105000,2016
New York City FC,Johansen,Eirik,GK,62500,62500,2016
Chicago Fire,Johnson,Sean,GK,250000,253000,2016
Toronto FC,Johnson,Will,M,375000,395333.33,2016
Seattle Sounders FC,Jones,Darwin,F,62500,68750,2016
Philadelphia Union,Jones,Derrick,M,51504,57404,2016
Colorado Rapids,Jones,Jermaine,M,600000,650000,2016
Seattle Sounders FC,Jones,Joevin,D,70000,76166.67,2016
Atlanta United,Jones,Kenwyne,F,62508,85841.33,2016
Philadelphia Union,Jones,Matt,GK,75000,80625,2016
Sporting Kansas City,Joya,Benjamin,M,51504,51504,2016
Orlando City SC,Kaka,,M,6660000,7167500,2016
DC United,Kamara,Alhaji,F,51500.04,59750.04,2016
New England Revolution,Kamara,Kei,F,1000000,1000000,2016
Columbus Crew,Kamara,Ola,F,425000,457500,2016
Sporting Kansas City,Kann,Alec,GK,63000,63000,2016
Chicago Fire,Kappelhof,Johan,D,480000,520000,2016
Real Salt Lake,Kavita,Phanuel,D,51500,51500,2016
LA Galaxy,Keane,Robbie,F,3500000,3500000,2016
DC United,Kemp,Taylor,D,100000,100000,2016
Sporting Kansas City,Kempin,Jonathan,GK,82750,82750,2016
LA Galaxy,Kennedy,Dan,GK,180000,195400,2016
New York Red Bulls,Kljestan,Sacha,M,550000,687500,2016
Portland Timbers,Klute,Chris,D,86625,91921.8,2016
New England Revolution,Knighton,Brad,GK,86105.25,86105.25,2016
New England Revolution,Kobayashi,Daigo,M,120000,132000,2016
New England Revolution,Koffie,Gershon,M,250000,261000,2016
Portland Timbers,Konopka,Chris,GK,62499.96,64999.96,2016
DC United,Korb,Chris,D,108900,116379.83,2016
New England Revolution,Kouassi,Xavier,M,840000,890541.75,2016
Seattle Sounders FC,Kovar,Aaron,M,63000,63200,2016
Philadelphia Union,Kratz,Kevin,M,62508,76758,2016
Montreal Impact,Kronberg,Eric,GK,145200,145200,2016
Vancouver Whitecaps,Kudo,Masato,F,310000,370000,2016
Vancouver Whitecaps,Laba,Matias,M,560000,720500,2016
Chicago Fire,LaBrocca,Nick,M,110000,110000,2016
New York Red Bulls,Lade,Connor,D,62500,65312.5,2016
New York City FC,Lampard,Frank,M,6000000,6000000,2016
Chicago Fire,Lampson,Matt,GK,71250,76625,2016
LA Galaxy,Larentowicz,Jeff,M,175000,175000,2016
Orlando City SC,Larin,Cyle,F,135000,177000,2016
Orlando City SC,Laryea,Richmond,M,125000,154000,2016
LA Galaxy,Lassiter,Ariel,F,51500,51500,2016
New York Red Bulls,Lawrence,Kemar,D,100000,205600,2016
Colorado Rapids,Le Toux,Sebastien,F-M,300000,310228.13,2016
Montreal Impact,Lefevre,Wandrille,D,63000,63000,2016
San Jose Earthquakes,Lenhart,Steven,F,170000,179083.33,2016
Vancouver Whitecaps,Levis,Brett,D,62499.96,64999.96,2016
FC Dallas,Lizarazo,Carlos,M-F,62508,130633,2016
LA Galaxy,Lletget,Sebastian,M,110000,115500,2016
Seattle Sounders FC,Lodeiro,Nicolas,M,1371428.52,1743428.52,2016
New York Red Bulls,Long,Aaron,D,51504,51504,2016
New York City FC,Lopez,Mikey,M,51500,51500,2016
Houston Dynamo,Lovejoy,Rob,M,52500,52500,2016
Toronto FC,Lovitz,Daniel,M,63000,63000,2016
Seattle Sounders FC,Lowe,Damion,D,66412.5,77412.5,2016
FC Dallas,Loyd,Zach,D,200000,221666.67,2016
Houston Dynamo,Lucatero,Christian,M,51500,51750,2016
Seattle Sounders FC,Lyon,Charlie,GK,52500,52500,2016
Columbus Crew,Mabwati,Cedrick,M,235000,263350,2016
Colorado Rapids,MacMath,Zac,GK,140004,140004,2016
LA Galaxy,Magee,Mike,M,250000,250000,2016
Houston Dynamo,Maidana,Cristian,M,223850,237600,2016
Montreal Impact,Mallace,Calum,M,100000,116250,2016
DC United,Mancini,Andrea,F,82500,82500,2016
Montreal Impact,Mancosu,Matteo,F,189000,189000,2016
Vancouver Whitecaps,Manneh,Kekuta,M-F,127500,157000,2016
Toronto FC,Mannella,Chris,M,63000,63000,2016
,Manning,Anthony,D,52500,52500,2016
Houston Dynamo,Manotas,Mauro,F,85000,85000,2016
Houston Dynamo,Mansally,Kenny,D,77500,84000,2016
Seattle Sounders FC,Mansaray,Victor,F,62500,66000,2016
Sporting Kansas City,Mapp,Justin,M,224070,239070,2016
Philadelphia Union,Marquez,Richard,D,63000,69400,2016
Seattle Sounders FC,Marshall,Chad,D,325000,341250,2016
DC United,Martin,Collin,M,75000,89166.67,2016
Columbus Crew,Martinez,Cristian,M,62508,67008,2016
New York City FC,Martinez,Diego,D,135000,135000,2016
Real Salt Lake,Martinez,Juan Manuel,F,1060000,1458666.67,2016
New York Red Bulls,Martins,Felipe,M,250000,280000,2016
New York City FC,Matarrita,Ronald,D,150000,175000,2016
Portland Timbers,Mattocks,Darren,F,215000,231666.67,2016
Real Salt Lake,Maund,Aaron,D,85000,88449.5,2016
LA Galaxy,McBean,Jack,F,62499.96,62499.96,2016
Atlanta United,McCann,Chris,M,62508,90508,2016
Philadelphia Union,McCarthy,John,GK,79000,88250,2016
New York Red Bulls,McCarty,Dax,M,400000,500000,2016
New England Revolution,McCrary,Jordan,D,62500,62500,2016
Portland Timbers,McInerney,Jack,F,270000,270000,2016
Vancouver Whitecaps,McKendry,Ben,M,52500,52500,2016
Chicago Fire,McLain,Patrick,GK,72500,72500,2016
New York City FC,McNamara,Thomas,M,73500,85000,2016
New York Red Bulls,Meara,Ryan,GK,75246.15,76496.15,2016
Seattle Sounders FC,Mears,Tyrone,D,175000,184000,2016
Sporting Kansas City,Medranda,Jimmy,D,63000,63000,2016
Chicago Fire,Meira,Joao,D-M,110000,126500,2016
Portland Timbers,Melano,Lucas,F,760000,980000,2016
Sporting Kansas City,Melia,Tim,GK,150000,152500,2016
New York City FC,Mena,Jefferson,D,220000,231400,2016
LA Galaxy,Mendiola,Raul,F,62500,62500,2016
New York City FC,Mendoza,Stiven,F,207276,207276,2016
Columbus Crew,Meram,Justin,M,175000,185000,2016
San Jose Earthquakes,Meredith,Bryan,GK,63000,63000,2016
Vancouver Whitecaps,Mezquida,Nicolas,M-F,88000,88000,2016
Colorado Rapids,Miller,Eric,D,66412.5,77412.5,2016
Seattle Sounders FC,Miller,Tyler,GK,62508,62508,2016
DC United,Mishu,Luke,D,62500,62500,2016
Philadelphia Union,Missimo,Cole,M,51500,51500,2016
,Mitchell,Trey,GK,62500,62500,2016
Orlando City SC,Molino,Kevin,M,110000,121400,2016
Houston Dynamo,Monteiro de Lima,Alex,M,152000,152000,2016
Toronto FC,Moor,Drew,D,235000,250000,2016
,Moore,Luke,F,115000,137500,2016
Real Salt Lake,Morales,Javier,M,590000,590000,2016
Vancouver Whitecaps,Morales,Pedro,M,1232500,1471400,2016
Toronto FC,Morgan,Ashtone,D,120000,132000,2016
Chicago Fire,Morrell,Alex,M,51500,51500,2016
Seattle Sounders FC,Morris,Jordan,F,178000,190500,2016
Toronto FC,Morrow,Justin,D,200000,216666.67,2016
Real Salt Lake,Movsisyan,Yura,F,200000,200000,2016
Real Salt Lake,Mulholland,Luke,M,160008,160008,2016
DC United,Mullins,Patrick,F,96250,126250,2016
Sporting Kansas City,Mustivar,Soni,M,200000,200000,2016
New York Red Bulls,Muyl,Alex,F,62500,66500,2016
Sporting Kansas City,Myers,Chance,D,200000,225000,2016
Columbus Crew,Naess,Nicolai,D,200004,207504,2016
Sporting Kansas City,Nagamura,Paulo,M,225000,225000,2016
Portland Timbers,Nagbe,Darlington,M/F,500000,515000,2016
DC United,Neagle,Lamar,M-F,185000,187833.33,2016
New England Revolution,Neumann,Steve,M-F,62500,62500,2016
New England Revolution,Nguyen,Lee,M,500000,500000,2016
Orlando City SC,Nocerino,Antonio,M,600000,650000,2016
DC United,Nyarko,Patrick,F-M,210000,225750,2016
San Jose Earthquakes,Nyassi,Sanna,M,135000,141250,2016
Atlanta United,Oblitey Otoo,Jeffrey,M-F,51504,51504,2016
Seattle Sounders FC,Ockford,Jimmy,D,63000,63000,2016
Montreal Impact,Oduro,Dominic,F,235000,235000,2016
Portland Timbers,Okugo,Amobi,D-M,300000,325000,2016
Real Salt Lake,Okwuonu,Boyd,D,66000,86000,2016
Real Salt Lake,Olave,Jamison,D,215000,215000,2016
Sporting Kansas City,Olum,Lawrence,M,105000,115000,2016
Montreal Impact,Ontivero,Lucas,M,380000,440000,2016
Sporting Kansas City,Opara,Ike,D,125000,131250,2016
DC United,Opare,Kofi,D,90000,105000,2016
FC Dallas,Ortiz,Juan Esteban,M,160000,204500,2016
Toronto FC,Osorio,Jonathan,M,166750,174570.68,2016
