Club,Last Name,First Name,Position,Salary,Compensation,Year
Austin FC,Dominguez,Cecilio,M-F,81375,287375,2020
Toronto FC,Dorsey,Griffin,M,100000,119000,2020
LA Galaxy,dos Santos,Jonathan,M,2000000,2000000,2020
Minnesota United,Dotson,Hassani,M-D,63547,63547,2020
LAFC,Duenas,Erik,D,63547,65547,2020
LAFC,Duke,Bryce,M,81375,81375,2020
Sporting Kansas City,Duke,Cameron,M,63547,66547,2020
LA Galaxy,Dunbar,Cameron,F,90000,106750,2020
New York Red Bulls,Duncan,Kyle,D,81375,81375,2020
Toronto FC,Dunn,Julian,D,81375,81375,2020
Portland Timbers,Duvall,Chris,D,81375,81375,2020
Orlando City SC,Dwyer,Dom,F,1452000,1635333,2020
Portland Timbers,Ebobisse,Jeremy,F,425000,516250,2020
DC United,Edwards,Earl,GK,81375,84708,2020
FC Cincinnati,Edwards,Bobby,GK,81375,81375,2020
Minnesota United,Edwards,Raheem,D-M,81375,81375,2020
New York Red Bulls,Egbo,Mandelo,D,252000,286700,2020
LAFC,Ejimadu,Philip,GK,63547,63547,2020
LAFC,El-Mounir,Mohammed,D,220000,242667,2020
Philadelphia Union,Elliott,Jack,D,300000,315000,2020
Minnesota United,Emmings,Fred,GK,63547,69547,2020
Toronto FC,Endoh,Tsubasa,M,90000,95333,2020
Atlanta United,Escobar,Franco,D,350004,350004,2020
LA Galaxy,Esparza-Saldana,Adam,M,81375,87309,2020
San Jose Earthquakes,Espinoza,Cristian,F,1150000,1265000,2020
Sporting Kansas City,Espinoza,Roger,M,800000,800000,2020
Columbus Crew,Etienne,Derrick,M,81375,81375,2020
Vancouver Whitecaps,Facchineri,Gianfranco,D,63547,65547,2020
New England Revolution,Fagundez,Diego,M,195000,215000,2020
Montreal Impact,Fanni,Rod,D,235000,258500,2020
Portland Timbers,Farfan,Marco,D,115000,115000,2020
New England Revolution,Farrell,Andrew,D,237192,322192,2020
San Jose Earthquakes,Felipe,Luis,M,100000,100750,2020
LA Galaxy,Feltscher,Rolf,D,275000,299650,2020
Montreal Impact,Ferdinand,Keesean,,63547,73592,2020
LA Galaxy,Ferkranus,Marcus,D,75000,88625,2020
Sporting Kansas City,Fernandes,Gerso,F,600000,600000,2020
New York Red Bulls,Fernandez,Omir,M,90000,105000,2020
FC Dallas,Ferreira,Jesus,F,450000,450000,2020
San Jose Earthquakes,Fierro,Carlos,F,880000,938800,2020
Inter Miami,Figal,Jorge,D,500000,530000,2020
Houston Dynamo,Figueroa,Maynor,D,81375,81375,2020
Minnesota United,Finlay,Ethan,M,425004,425004,2020
New England Revolution,Firmino,Nicolas,M,81375,85042,2020
DC United,Fisher,Oniel,D,130000,138000,2020
DC United,Flores,Edison,M-F,1600000,1733000,2020
Portland Timbers,Flores,Andres,M,81375,81375,2020
Philadelphia Union,Fontana,Anthony,M,81375,89793,2020
Sporting Kansas City,Fontas,Andreu,D,700000,700000,2020
Colorado Rapids,Ford,Kortne,D,120000,120000,2020
Columbus Crew,Francis,Waylon,D,200000,239167,2020
Chicago Fire,Frankowski,Przemyslaw,M,625000,836687,2020
Toronto FC,Fraser,Liam,M,81375,86375,2020
Sporting Kansas City,Freeman,Tyler,F,81375,83875,2020
Philadelphia Union,Freese,Matt,GK,75000,82650,2020
Seattle Sounders FC,Frei,Stefan,GK,500000,512500,2020
Houston Dynamo,Fuenmayor,Alejandro,D,152250,179750,2020
San Jose Earthquakes,Fuentes,Gilbert,M,140000,158750,2020
Philadelphia Union,Gaddis,Ray,D,195000,195000,2020
Toronto FC,Gallacher,Tony,D,63547,72000,2020
Atlanta United,Gallagher,Jon,F,81375,81375,2020
Toronto FC,Gallardo,Erickson,M,275004,306917,2020
Orlando City SC,Gallese,Pedro,GK,380000,380000,2020
Colorado Rapids,Galvan,Braian,F,120000,212375,2020
Houston Dynamo,Garcia,Oscar Boniek,M,200000,210000,2020
Real Salt Lake,Garcia,Chris,F,63547,67847,2020
FC Cincinnati,Garza,Greg,D,320000,320000,2020
Minnesota United,Gasper,Chase,D,63547,63547,2020
New England Revolution,Gil,Carles,M,2100000,2619667,2020
Chicago Fire,Gimenez,Gaston,M,1320000,1870667,2020
LAFC,Ginella,Francisco,M,360000,482250,2020
Montreal Impact,Giraldo,Tomas,M,63547,72304,2020
Real Salt Lake,Glad,Justen,D,450000,471700,2020
Minnesota United,Gleadle,Sam,D,63547,63547,2020
Philadelphia Union,Glesnes,Jakob,D,420000,443125,2020
Nashville SC,Godoy,Anibal,M,650000,721667,2020
Vancouver Whitecaps,Godoy,Erik,D,350000,350000,2020
Seattle Sounders FC,Gomez Andrade,Yeimar,D,275000,362000,2020
LA Galaxy,Gonzalez,Yony,F-M,1266667,1270667,2020
Toronto FC,Gonzalez,Omar,D,720000,995936,2020
LA Galaxy,Gonzalez,Giancarlo,D,750000,819583,2020
Inter Miami,Gonzalez Pirez,Leandro,D,742500,902750,2020
New York City FC,Gray,Tayvon,D,63547,83334,2020
Minnesota United,Gregus,Jan,M,750000,883500,2020
DC United,Gressel,Julian,M,500000,555781,2020
Chicago Fire,Gutierrez,Brian,M,63547,65447,2020
Sporting Kansas City,Gutierrez,Felipe,M,1600000,1650000,2020
Vancouver Whitecaps,Gutierrez,Cristian,D,81375,98875,2020
Chicago Fire,Gutjahr,Jeremiah,D,63547,63547,2020
FC Cincinnati,Gutman,Andrew,D,100000,100000,2020
Atlanta United,Guzan,Brad,GK,730008,790008,2020
FC Cincinnati,Gyau,Joe,M,166000,186473,2020
New York City FC,Haak,Justin,M,63547,63547,2020
Nashville SC,Haakenson,Luke,M,63547,63547,2020
FC Cincinnati,Hagglund,Nick,D,151255,160880,2020
