Row,Date,Category,Store,Address
134,9/1/07,Travel,Mall of America Gift Store,N128
363,9/1/07,Travel,Explore Minnesota Store,N128
440,9/1/07,Restaurants & Quick Serve Restaurants,Twin City Grill,N130
133,9/1/07,Travel,Magnet Max,N132
75,9/1/07,Travel,Justice,N134
203,9/1/07,Travel,d.e.m.o,N140
323,9/1/07,Travel,Quiksilver Boardriders Club,N144
352,9/1/07,Women's Specialty Fashions,Torrid,N148
248,9/1/07,Travel,Payless Shoe Source,N150
342,9/1/07,Women's Fashions,Deb/Deb Plus,N151
241,9/1/07,Travel,Journeys,N154
325,9/1/07,Women's Fashions,Wet Seal,N159
254,9/1/07,Travel,Spring,N166
213,9/1/07,Travel,Hot Topic,N168
11,9/1/07,Travel,European Gifts,N170
35,9/1/07,Travel,Bath & Body Works,N172
170,9/1/07,Travel,Goodman Jewelers Galleria,N174
55,9/1/07,Travel,Victoria's Secret,N178
334,9/1/07,Women's Fashions,Ann Taylor Loft,N184
246,9/1/07,Travel,One Thousand Steps,N186
229,9/1/07,Travel,Aldo,N188
225,9/1/07,Travel,Sisley,N190
379,9/1/07,Restaurants & Quick Serve Restaurants,Caribou Coffee,N194
191,9/1/07,Travel,Abercrombie & Fitch,N200
253,9/1/07,Travel,Skechers,N214
88,9/1/07,Travel,"Mobile Solution, The",N216
44,9/1/07,Travel,Mia & Maxx Hair Studio,N218
48,9/1/07,Travel,Perfumania,N219
321,9/1/07,Travel,Jimmy'Z,N221
183,9/1/07,Travel,Elante,N224
434,9/1/07,Restaurants & Quick Serve Restaurants,Ruby Tuesday,N234
69,9/1/07,Travel,Club Libby Lu,N238
347,9/1/07,Women's Fashions,maurices,N240
249,9/1/07,Travel,Pro Image,N244
235,9/1/07,Travel,Famous Footwear,N246
193,9/1/07,Travel,American Eagle Outfitters,N248
100,9/1/07,Travel,Mystic Lake Casino Hotel,N252
143,9/1/07,Travel,Razz,N256
316,9/1/07,Women's Fashions,5 7 9,N258
24,9/1/07,Travel,Deck The Walls,N260
6,9/1/07,Travel,Claire's Club,N262
320,9/1/07,Travel,Hollister,N267
318,9/1/07,Travel,dELiA*s,N270
313,9/1/07,Travel,Team Choice,N274
197,9/1/07,Travel,Big Dog Sportswear,N275
205,9/1/07,Travel,Ecko Enterprises,N276
208,9/1/07,Travel,Fossil: The Jean Store,N282
154,9/1/07,Travel,Yankee Candle,N286
149,9/1/07,Travel,Swarovski,N288
33,9/1/07,Travel,Bare Escentuals,N294
123,9/1/07,Travel,Department 56,N300
311,9/1/07,Travel,Powerhouse Ride Shop,N308
115,9/1/07,Travel,Alamo Flags,N312
201,9/1/07,Travel,City Shirts,N314
138,9/1/07,Travel,Minnesota Bound,N316
74,9/1/07,Travel,Journeys Kidz,N318
410,9/1/07,Restaurants & Quick Serve Restaurants,Dairy Queen,N328
405,9/1/07,Restaurants & Quick Serve Restaurants,Burger King,N330
419,9/1/07,Restaurants & Quick Serve Restaurants,Nathan's,N331
416,9/1/07,Restaurants & Quick Serve Restaurants,Little Tokyo,N335
408,9/1/07,Restaurants & Quick Serve Restaurants,Col. Muzzy's Texas BBQ,N336
425,9/1/07,Restaurants & Quick Serve Restaurants,Taco Bell,N338
411,9/1/07,Restaurants & Quick Serve Restaurants,Frullati Café,N342
407,9/1/07,Restaurants & Quick Serve Restaurants,Charley's,N344
402,9/1/07,Restaurants & Quick Serve Restaurants,Arby's,N346
421,9/1/07,Restaurants & Quick Serve Restaurants,Panda Express,N350
330,9/1/07,Travel,Toy Corner,N352
141,9/1/07,Travel,Petters,N356
186,9/1/07,Travel,Afterhours Formal Wear,N364
15,9/1/07,Travel,Keeping Time,N365
374,9/1/07,Restaurants & Quick Serve Restaurants,Auntie Anne's,N366
110,9/1/07,Travel,Sunblox,N367
146,9/1/07,Travel,Spencer Gifts,N368
39,9/1/07,Travel,General Nutrition Center,N370
49,9/1/07,Travel,Perfumania,N372
310,9/1/07,Travel,Lids,N373
99,9/1/07,Travel,Moose Mountain Adventure Golf,N376
84,9/1/07,Travel,GameStop,N378
258,9/1/07,Travel,Vans,N380
94,9/1/07,Travel,T Mobile,N382
250,9/1/07,Travel,Red Wing Shoe Co. Inc.,N384
224,9/1/07,Travel,RCC Western Stores,N386
129,9/1/07,Travel,Itz-A-Puzzle,N390
382,9/1/07,Restaurants & Quick Serve Restaurants,Delimango,N392
4,9/1/07,Travel,Claire's Boutique,N394
433,9/1/07,Restaurants & Quick Serve Restaurants,Rainforest Cafe,S102
259,9/1/07,Travel,"Walking Company, The",S108
209,9/1/07,Travel,Gap,S110
237,9/1/07,Travel,First,S116
68,9/1/07,Travel,"Children's Place, The",S118
194,9/1/07,Travel,American Eagle Outfitters,S120
388,9/1/07,Restaurants & Quick Serve Restaurants,Healthy Express,S126
81,9/1/07,Travel,Apple Store,S132
335,9/1/07,Women's Fashions,Arden B,S138
83,9/1/07,Travel,Bose,S140
227,9/1/07,Travel,Wilsons Leather,S142
36,9/1/07,Travel,Bath & Body Works,S143
348,9/1/07,Women's Fashions,New York & Company,S144
343,9/1/07,Women's Fashions,J.Jill,S145
353,9/1/07,Women's Fashions,White House | Black Market,S148
16,9/1/07,Travel,Local Charm - a minnesota Jewelry Studio,S150
196,9/1/07,Travel,Benetton,S152
72,9/1/07,Travel,Gymboree,S154
245,9/1/07,Travel,Nine West,S156
162,9/1/07,Travel,LoveSac,S158
66,9/1/07,Travel,babyGap,S160
71,9/1/07,Travel,GapKids,S160
