Period,Category,Store,Address,Length
1/1/94,Gifts,Irish Indeed,N142,4
1/1/94,Gifts,Lake Wobegon USA,E350,4
1/1/94,Gifts,Love From Minnesota,W380,4
1/1/94,Gifts,Mac Birdie Golf Gifts,E352,4
1/1/94,Gifts,Magnetic Attractions,N132,4
1/1/94,Gifts,Mall of America Gift Store,E110,4
1/1/94,Gifts,Mall of America Gift Store,N128,4
1/1/94,Gifts,Mall of America Gift Store,S322,4
1/1/94,Gifts,Mary Engelbreit,W160,4
1/1/94,Gifts,Minnesot-ah!,E157,4
1/1/94,Gifts,Mrs. Anderson's Personalized Gifts,W368,4
1/1/94,Gifts,The Museum Company,S184,4
1/1/94,Gifts,Natural Wonders,S254,4
1/1/94,Gifts,RAZZ,E214,4
1/1/94,Gifts,San Francisco Music Box Co.,W156,4
1/1/94,Food,Pretzel Time,W384,4
1/1/94,Food,Rocky Mountain Chocolate Factory,E128,4
1/1/94,Food,Rybicki Cheese,W382,4
1/1/94,Food,Subway,E244,4
1/1/94,Food,Torpedo Joe's/Old Navy,E248,4
1/1/94,Gifts,A Simpler Time,S284,4
1/1/94,Gifts,The Afternoon,S290,4
1/1/94,Gifts,Alamo Flags,E362,4
1/1/94,Gifts,Alpaca Connection,E367,4
1/1/94,Gifts,Animal Lover,W161,4
1/1/94,Gifts,Babushka,E285,4
1/1/94,Gifts,Basic Brown Bear Factory,N154,4
1/1/94,Gifts,Brookstone,W162,4
1/1/94,Gifts,Candleman,W386,4
1/1/94,Gifts,Legacy Cigar Company,W388,4
1/1/94,Gifts,Colorado Pen Company,S222,4
1/1/94,Gifts,Dapy,N232,4
1/1/94,Gifts,Department 56,N300,4
1/1/94,Gifts,Dogs & Cats,N316,4
1/1/94,Gifts,Endangered Species,S255,4
1/1/94,Gifts,European Gift Shop,N170,4
1/1/94,Gifts,Forever Green,N384,4
1/1/94,Gifts,Franklin Mint,S180,4
1/1/94,Food,B Sweet,N272,4
1/1/94,Food,Barnes & Noble Café,E118,4
1/1/94,Food,Breslers Ice Cream and Yogurt,N372,4
1/1/94,Food,Calido Chile Traders,E174,4
1/1/94,Food,Candy Candy!,W392,4
1/1/94,Food,Candy is Dandy,E164,4
1/1/94,Food,Candyland,W366,4
1/1/94,Food,Caribou Coffee,S380,4
1/1/94,Food,Cinnabon,E180,4
1/1/94,Food,"The Coffee Beanery, Ltd.",N194,4
1/1/94,Food,"Dairy Queen, Karmel Korn",E281,4
1/1/94,Food,Fanny Farmer,E316,4
1/1/94,Food,Freshens Yogurt,N126,4
1/1/94,Food,Freshens Yogurt,S336,4
1/1/94,Food,Garlic Shoppe,W326,4
1/1/94,Food,Gloria Jean Gourmet Coffees,E306,4
1/1/94,Food,Gloria Jean Gourmet Coffees,W166,4
1/1/94,Food,Godiva Chocolatier,W126,4
1/1/94,Food,Great American Cookie Co.,E283,4
1/1/94,Food,Häägen-Dazs,E356,4
1/1/94,Food,Healthy Express,S126,4
1/1/94,Food,Maison du Popcorn,N266,4
1/1/94,Food,Mr. Bulky Treats & Gifts,E360,4
1/1/94,Food,Orange Julius,W130,4
1/1/94,Food,The Original Cookie Co.,N269,4
1/1/94,Food-Fast Food,Arby's,N346,4
1/1/94,Food-Fast Food,Burger King,N330,4
1/1/94,Food-Fast Food,Cajun Café Grill,N336,4
1/1/94,Food-Fast Food,Frullati Cafe,N342,4
1/1/94,Food-Fast Food,Gyro & Grill,N329,4
1/1/94,Food-Fast Food,Little Tokyo,N335,4
1/1/94,Food-Fast Food,Luca's Pizza Villa,N340,4
1/1/94,Food-Fast Food,Original Corn Dog,N328,4
1/1/94,Food-Fast Food,Panda Express,N350,4
1/1/94,Food-Fast Food,Steak Escape,N344,4
1/1/94,Food-Fast Food,Taco Bell,N338,4
1/1/94,Food-Fast Food,A&W Hot Dogs & More,S376,4
1/1/94,Food-Fast Food,Baja Tortilla Grill,S392,4
1/1/94,Food-Fast Food,Cajun Café Grill,S386,4
1/1/94,Food-Fast Food,Corn Dog Plus,S384,4
1/1/94,Food-Fast Food,The Great Steak & Fry Co.,S388,4
1/1/94,Food-Fast Food,Hibachi-San,S372,4
1/1/94,Food-Fast Food,Johnny Rockets,S370,4
1/1/94,Food-Fast Food,Kato's Grill & BBQ,S391,4
1/1/94,Food-Fast Food,Minnesota Picnic,S379,4
1/1/94,Food-Fast Food,1 Potato 2,S378,4
1/1/94,Food-Fast Food,Panda Express,S374,4
1/1/94,Food-Fast Food,Sbarro,S390,4
1/1/94,Food-Restaurants,Alamo Grill,S396,4
1/1/94,Food-Restaurants,Albert's Family Restaurant,S344,4
1/1/94,Food-Restaurants,America Live!,E402,4
1/1/94,Food-Restaurants,America's Original Sports Bar,E402,4
1/1/94,Food-Restaurants,Café Odyssey,S320,4
1/1/94,Food-Restaurants,California Café,S368,4
1/1/94,Food-Restaurants,Fat Tuesday Daiquiri Bar & Fun Eatery,E407,4
1/1/94,Food-Restaurants,Gators,E408,4
1/1/94,Food-Restaurants,Hooters,E404,4
1/1/94,Food-Restaurants,Mandarin Garden,E216,4
1/1/94,Food-Restaurants,Napa Valley Grille,W220,4
1/1/94,Food-Restaurants,Planet Hollywood,S402,4
1/1/94,Food-Restaurants,Players,E402,4
1/1/94,Food-Restaurants,Rainforest Cafe,S102,4
1/1/94,Food-Restaurants,Ruby Tuesday,N234,4
1/1/94,Food-Restaurants,Tony Roma's,S346,4
1/1/94,Food-Restaurants,Tucci Benucch,W114,4
1/1/94,Food-Restaurants,Twin City Grill,N130,4
1/1/94,Food-Specialty,Auntie Anne's,E242,4
1/1/94,Music/Electronics/Video,Suncoast Motion Picture Company,E126,4
1/1/94,Music/Electronics/Video,Wizards of the Coast,N251,4
1/1/94,Entertainment-Family,Golf Mountain,N376,4
1/1/94,Entertainment-Family,"Great Cars, Great Trucks/ DaimlerChrysler",W120,4
1/1/94,Entertainment-Family,LEGO Imagination Center,S164,4
1/1/94,Entertainment-Family,Nascar Silicon Motor Speedway,S352,4
1/1/94,Entertainment-Family,Underwater World,E120,4
1/1/94,Entertainment-Nightclubs,America Live!,E402,4
1/1/94,Entertainment-Nightclubs,America's Original Sports Bar,E402,4
1/1/94,Entertainment-Nightclubs,Fat Tuesday Daiquiri Bar & Fun Eatery,E407,4
1/1/94,Entertainment-Nightclubs,Flashbaxx,E402,4
1/1/94,Entertainment-Nightclubs,Gators,E408,4
1/1/94,Entertainment-Nightclubs,Knucklehead's,E406,4
1/1/94,Entertainment-Nightclubs,Ltl Ditty's,E402,4
1/1/94,Entertainment-Theatres,General Cinema 14 Theaters,S401,4
1/1/94,Junior Department Stores,Marshalls,E320,4
1/1/94,Junior Department Stores,Nordstrom Rack,W324,4
1/1/94,Junior Department Stores,Old Navy Clothing,E138,4
1/1/94,Junior Department Stores,Oshman's Super Sports USA,W340,4
1/1/94,Music/Electronics/Video,Aerial Communications,N382,4
1/1/94,Music/Electronics/Video,AT&T Wireless Services,E302,4
1/1/94,Music/Electronics/Video,Barnes & Noble Music,E118,4
1/1/94,Music/Electronics/Video,Circuit City Express,E148,4
1/1/94,Music/Electronics/Video,E.B.X.,E342,4
1/1/94,Music/Electronics/Video,Electronics Boutique,E124,4
1/1/94,Music/Electronics/Video,EZ Call Stationers,E217,4
1/1/94,Music/Electronics/Video,Funcoland,N220,4
1/1/94,Music/Electronics/Video,Gamestop,W152,4
1/1/94,Music/Electronics/Video,Radio Shack,N148,4
1/1/94,Music/Electronics/Video,Record Town,E272,4
1/1/94,Music/Electronics/Video,Sam Goody,N356,4
1/1/94,Music/Electronics/Video,Sam Goody,S138,4
1/1/94,Music/Electronics/Video,Sam Goody Classics,N354,4
1/1/94,Music/Electronics/Video,Saturday Matinee,E270,4
1/1/94,Novelty,As Seen on T.V.,E366,4
1/1/94,Novelty,Big Dog Sportswear,N108,4
1/1/94,Novelty,Chapel of Love Wedding Chapel,E345,4
1/1/94,Novelty,Destination Minnesota,E260,4
1/1/94,Novelty,Hartfield & Company,W270,4
1/1/94,Arts & Crafts,Art-A-Craft,N370,4
1/1/94,Arts & Crafts,Deck the Walls,W142,4
1/1/94,Arts & Crafts,Grassland Gallery,W286,4
1/1/94,Arts & Crafts,Prints Plus,N260,4
1/1/94,Arts & Crafts,Thomas Kincade Gallery,S286,4
1/1/94,Arts & Crafts,Wild Wings Gallery,N224,4
1/1/94,Arts & Crafts,Wooden Bird,N186,4
1/1/94,Books & Stationery,Amy's Hallmark,N214,4
1/1/94,Books & Stationery,Atlantic Book Warehouse,S358,4
1/1/94,Books & Stationery,B. Dalton Bookseller,N184,4
1/1/94,Books & Stationery,Barnes & Noble,E118,4
1/1/94,Books & Stationery,Franklin Covey,W140,4
1/1/94,Books & Stationery,Kim's Hallmark,S340,4
1/1/94,Books & Stationery,Lemstone Books,N216,4
1/1/94,Apparel-Women’S Ready To Wear,Contempo Casuals,S262,4
1/1/94,Apparel-Women’S Ready To Wear,Deb/Deb Plus,N151,4
1/1/94,Apparel-Women’S Ready To Wear,Express,W204,4
1/1/94,Apparel-Women’S Ready To Wear,Foxmoor,E330,4
1/1/94,Apparel-Women’S Ready To Wear,Gap Women,S162,4
1/1/94,Apparel-Women’S Ready To Wear,Georgiou,S282,4
1/1/94,Apparel-Women’S Ready To Wear,Juxtapose,N278,4
1/1/94,Apparel-Women’S Ready To Wear,Kiwi Beach,W128,4
1/1/94,Apparel-Women’S Ready To Wear,Lerner New York,S144,4
1/1/94,Apparel-Women’S Ready To Wear,The Limited,W210,4
1/1/94,Apparel-Women’S Ready To Wear,Rave,N166,4
1/1/94,Apparel-Women’S Ready To Wear,Timbuktu Station,S178,4
1/1/94,Apparel-Women’S Ready To Wear,Wet Seal,N159,4
1/1/94,Apparel-Athletic Clothing,Custom College Shop,E100,4
1/1/94,Apparel-Athletic Clothing,Hat Zone,W369,4
1/1/94,Apparel-Athletic Clothing,Hat Zone of America,E178,4
1/1/94,Apparel-Athletic Clothing,Lids,E134,4
1/1/94,Apparel-Athletic Clothing,Lids,N373,4
1/1/94,Apparel-Athletic Clothing,Speedo Authentic Fitness,W131,4
1/1/94,Apparel-Athletic Clothing,Sports Factory,E346,4
1/1/94,Apparel-Athletic Clothing,Team Choice,N274,4
1/1/94,Apparel-Woman'S Specialty,5-7-9 Shop,N190,4
1/1/94,Apparel-Woman'S Specialty,August Max Woman,S260,4
1/1/94,Apparel-Woman'S Specialty,Everything But Water,W290,4
1/1/94,Apparel-Woman'S Specialty,Everything But Water Too,W294,4
1/1/94,Apparel-Woman'S Specialty,Lane Bryant,S230,4
1/1/94,Apparel-Woman'S Specialty,Motherhood Maternity,S228,4
1/1/94,Apparel-Woman'S Specialty,Petite Sophisticates,S272,4
1/1/94,Apparel-Woman'S Specialty,Tall Girl,W282,4
1/1/94,Apparel-Woman'S Specialty,Victoria's Secret,N178,4
1/1/94,Apparel-Woman'S Specialty,Victoria's Secret,S238,4
1/1/94,Apparel-Women'S Ready To Wear,Ann Taylor,S218,4
1/1/94,Apparel-Women'S Ready To Wear,Arden B,S136,4
1/1/94,Apparel-Women'S Ready To Wear,b.b.s.p.,N104,4
1/1/94,Apparel-Women'S Ready To Wear,Benetton,W146,4
1/1/94,Apparel-Women'S Ready To Wear,Braun's Sport,S152,4
1/1/94,Apparel-Women'S Ready To Wear,Caché,W258,4
1/1/94,Apparel-Women'S Ready To Wear,Casual Corner,S276,4
1/1/94,Apparel-Women'S Ready To Wear,Chico's,W276,4
1/1/94,Apparel-Women'S Ready To Wear,Christopher & Banks (Braun's),S270,4
1/1/94,Apparel-Men'S & Women'S,Abercrombie & Fitch,N200,4
1/1/94,Apparel-Men'S & Women'S,Abercrombie & Fitch Outlet,N306,4
1/1/94,Apparel-Men'S & Women'S,Aeropostale,N118,4
1/1/94,Apparel-Men'S & Women'S,AKA by Eddie Bauer,W232,4
1/1/94,Apparel-Men'S & Women'S,American Eagle Outfitters,N248,4
1/1/94,Apparel-Men'S & Women'S,American Eagle Outfitters,S120,4
1/1/94,Apparel-Men'S & Women'S,Authentic Northern Reflections,W144,4
1/1/94,Apparel-Men'S & Women'S,Banana Republic,S166,4
1/1/94,Apparel-Men'S & Women'S,Brooks Brothers,S174,4
1/1/94,Apparel-Men'S & Women'S,The Buckle,N101,4
1/1/94,Apparel-Men'S & Women'S,City Shirts,N375,4
1/1/94,Apparel-Men'S & Women'S,d.e.m.o.,N140,4
1/1/94,Apparel-Men'S & Women'S,Eddie Bauer,W234,4
1/1/94,Apparel-Men'S & Women'S,Guess,S214,4
1/1/94,Apparel-Men'S & Women'S,Hemp's/Sativa's Closet,S382,4
1/1/94,Apparel-Men'S & Women'S,Hot Topic,E179,4
1/1/94,Apparel-Men'S & Women'S,Leather Limited,N136,4
1/1/94,Apparel-Men'S & Women'S,Limbo Lounge,N162,4
1/1/94,Apparel-Men'S & Women'S,Minnesota Sweatshirt,W327,4
1/1/94,Apparel-Men'S & Women'S,Northern Experience,S200,4
1/1/94,Apparel-Men'S & Women'S,Old Navy Clothing,E138,4
1/1/94,Apparel-Men'S & Women'S,Ragstock,N106,4
1/1/94,Apparel-Men'S & Women'S,RCC Western Wear,N180,4
1/1/94,Apparel-Men'S & Women'S,Wilson's/The Leather Experts,S142,4
9/1/07,Travel,Custom College Shop,E100,4
9/1/07,Travel,Footaction USA,E102,4
9/1/07,Travel,Glamour Shots,E104,4
9/1/07,Travel,Glamour Shots Kids,E108,4
9/1/07,Travel,Mall of America Gift Store,E110,4
9/1/07,Travel,Lundstrom Jewelers,E112,4
9/1/07,Restaurants & Quick Serve Restaurants,P.B.Loco Peanutbutterlicious Café,E114,4
9/1/07,Travel,Barnes & Noble,E118,4
9/1/07,Travel,Underwater Adventures® Aquarium,E120,4
9/1/07,Travel,Street Corner News,E122,4
9/1/07,Travel,For Love 21,E126,4
9/1/07,Restaurants & Quick Serve Restaurants,Rocky Mountain Chocolate Factory,E128,4
9/1/07,Restaurants & Quick Serve Restaurants,Haagen Dazs,E130,4
9/1/07,Travel,Old Navy,E138,4
9/1/07,Travel,Charlotte Russe,E141,4
9/1/07,Travel,Ultra Diamonds,E142,4
9/1/07,Travel,Johnston & Murphy,E144,4
9/1/07,Travel,Glitz!,E145,4
9/1/07,Travel,Clarks,E146,4
9/1/07,Travel,Ridemakerz,E148,4
9/1/07,Travel,Regis Salons,E152,4
9/1/07,Travel,Basin,E154,4
9/1/07,Travel,Field of Dreams,E156,4
9/1/07,Travel,Minnesot-ah!,E157,4
9/1/07,Travel,The Hockey Lodge,E160,4
9/1/07,Travel,Swatch,E162,4
9/1/07,Restaurants & Quick Serve Restaurants,Starbucks Coffee Company,E164,4
9/1/07,Travel,QVC @ The Mall,E168,4
9/1/07,Travel,Build-A-Bear Workshop®,E170,4
9/1/07,Travel,friends 2B made®,E172,4
9/1/07,Travel,Claire's Boutique,E179,4
9/1/07,Restaurants & Quick Serve Restaurants,Cinnabon,E180,4
9/1/07,Travel,Daniel's Leather,E200,4
9/1/07,Travel,Irish Indeed!,E201,4
9/1/07,Travel,"Buckle, The",E203,4
9/1/07,Travel,Ralph Marlin Ties,E208,4
9/1/07,Women's Fashions,Forever 21,E212,4
9/1/07,Travel,Money Xchange,E218,4
9/1/07,Travel,Zales,E240,4
9/1/07,Travel,"Finish Line, The",E241,4
9/1/07,Restaurants & Quick Serve Restaurants,Auntie Anne's,E242,4
9/1/07,Travel,Pac Sun,E246,4
9/1/07,Travel,Old Navy,E248,4
9/1/07,Travel,Underground Station,E258,4
9/1/07,Travel,Destination Minnesota,E260,4
9/1/07,Travel,Fossil,E262,4
9/1/07,Travel,Sunglass Hut,E266,4
9/1/07,Travel,Shi by Journeys,E268,4
9/1/07,Travel,Kids Foot Locker,E272,4
9/1/07,Travel,Lady Foot Locker,E272,4
9/1/07,Travel,Watch World International,E275,4
9/1/07,Restaurants & Quick Serve Restaurants,Godiva Chocolatier,E278,4
9/1/07,Travel,As Seen On T.V.,E282,4
9/1/07,Restaurants & Quick Serve Restaurants,Nestle Toll House Café,E283,4
9/1/07,Travel,GameStop,E284,4
9/1/07,Travel,Trade Secret,E285,4
9/1/07,Travel,Ritz Camera,E290,4
9/1/07,Travel,Select Comfort,E292,4
9/1/07,Travel,Gordon's Jewelers,E296,4
9/1/07,Travel,Heakin Research,E300,4
9/1/07,Travel,AT&T;,E302,4
9/1/07,Restaurants & Quick Serve Restaurants,Gloria Jean's Gourmet Coffee,E306,4
9/1/07,Travel,Just Silver,E314,4
9/1/07,Travel,"Vaase, The",E315,4
9/1/07,Travel,Marshalls,E320,4
9/1/07,Women's Fashions,Rainbow,E330,4
9/1/07,Travel,Dollar Tree,E336,4
9/1/07,Travel,Metropolitian Learning Alliance,E337,4
9/1/07,Travel,Radio Shack,E338,4
9/1/07,Travel,"Archiver's, The Photo Memory Store",E339,4
9/1/07,Travel,A.C.E.S. Flight Simulation,E340,4
9/1/07,Travel,LensCrafters,E344,4
9/1/07,Travel,Chapel of Love Wedding Chapel,E345,4
9/1/07,Travel,Corda-Roy's Originals,E348,4
9/1/07,Travel,Lake Wobegon USA,E350,4
9/1/07,Travel,Oxynate,E352,4
9/1/07,Travel,Black Hills Gold Jewelers,E357,4
9/1/07,Travel,Games by James,E358,4
9/1/07,Women's Fashions,SXXY,E360,4
9/1/07,Travel,Toy Corner Express,E362,4
9/1/07,Travel,Nail Trix,E363,4
9/1/07,Travel,Alpaca Connection,E367,4
9/1/07,Travel,MasterCuts Salons,E368,4
9/1/07,Travel,Aquamassage,E370,4
9/1/07,Travel,Model Cars,E372,4
9/1/07,Restaurants & Quick Serve Restaurants,Hooters,E404,4
9/1/07,Travel,Mall of America Executive Center,E410,4
9/1/07,Restaurants & Quick Serve Restaurants,Wolfgang Puck Express®,N100,4
9/1/07,Women's Fashions,bebe sport,N101,4
9/1/07,Travel,Club Monaco,N102,4
9/1/07,Women's Fashions,bebe,N104,4
9/1/07,Travel,Puma,N106,4
9/1/07,Travel,Oakley,N107,4
9/1/07,Travel,Metropark,N108,4
9/1/07,Travel,Aldo Accessories,N114,4
9/1/07,Travel,Aeropostale,N118,4
9/1/07,Travel,Heritage 1981,N120,4
9/1/07,Travel,Street Corner News,N122,4
9/1/07,Travel,World of Charms,N124,4
9/1/07,Travel,Callister's Christmas,N127,4
9/1/07,Travel,Mall of America Gift Store,N128,4
9/1/07,Travel,Explore Minnesota Store,N128,4
9/1/07,Restaurants & Quick Serve Restaurants,Twin City Grill,N130,4
9/1/07,Travel,Magnet Max,N132,4
9/1/07,Travel,Justice,N134,4
9/1/07,Travel,d.e.m.o,N140,4
9/1/07,Travel,Quiksilver Boardriders Club,N144,4
9/1/07,Women's Specialty Fashions,Torrid,N148,4
9/1/07,Travel,Payless Shoe Source,N150,4
9/1/07,Women's Fashions,Deb/Deb Plus,N151,4
9/1/07,Travel,Journeys,N154,4
9/1/07,Women's Fashions,Wet Seal,N159,4
9/1/07,Travel,Spring,N166,4
9/1/07,Travel,Hot Topic,N168,4
9/1/07,Travel,European Gifts,N170,4
9/1/07,Travel,Bath & Body Works,N172,4
9/1/07,Travel,Goodman Jewelers Galleria,N174,4
9/1/07,Travel,Victoria's Secret,N178,4
9/1/07,Women's Fashions,Ann Taylor Loft,N184,4
9/1/07,Travel,One Thousand Steps,N186,4
9/1/07,Travel,Aldo,N188,4
9/1/07,Travel,Sisley,N190,4
9/1/07,Restaurants & Quick Serve Restaurants,Caribou Coffee,N194,4
9/1/07,Travel,Abercrombie & Fitch,N200,4
9/1/07,Travel,Skechers,N214,4
9/1/07,Travel,"Mobile Solution, The",N216,4
9/1/07,Travel,Mia & Maxx Hair Studio,N218,4
9/1/07,Travel,Perfumania,N219,4
9/1/07,Travel,Jimmy'Z,N221,4
9/1/07,Travel,Elante,N224,4
9/1/07,Restaurants & Quick Serve Restaurants,Ruby Tuesday,N234,4
9/1/07,Travel,Club Libby Lu,N238,4
9/1/07,Women's Fashions,maurices,N240,4
9/1/07,Travel,Pro Image,N244,4
9/1/07,Travel,Famous Footwear,N246,4
9/1/07,Travel,American Eagle Outfitters,N248,4
9/1/07,Travel,Mystic Lake Casino Hotel,N252,4
9/1/07,Travel,Razz,N256,4
9/1/07,Women's Fashions,5 7 9,N258,4
9/1/07,Travel,Deck The Walls,N260,4
9/1/07,Travel,Claire's Club,N262,4
9/1/07,Travel,Hollister,N267,4
9/1/07,Travel,dELiA*s,N270,4
9/1/07,Travel,Team Choice,N274,4
9/1/07,Travel,Big Dog Sportswear,N275,4
9/1/07,Travel,Ecko Enterprises,N276,4
9/1/07,Travel,Fossil: The Jean Store,N282,4
9/1/07,Travel,Yankee Candle,N286,4
9/1/07,Travel,Swarovski,N288,4
9/1/07,Travel,Bare Escentuals,N294,4
9/1/07,Travel,Department 56,N300,4
9/1/07,Travel,Powerhouse Ride Shop,N308,4
9/1/07,Travel,Alamo Flags,N312,4
9/1/07,Travel,City Shirts,N314,4
