Row Number,Date Captured,Location Category,Store,Address
301,2024-09-02,Coffee + Tea,Niko Niko Boba,N392
302,2024-09-02,Fast Casual,Noodles & Company,S342
303,2024-09-02,Department Stores,Nordstrom,N1000
304,2024-09-02,Coffee + Tea,Nordstrom eBar,1Level
305,2024-09-02,Full Service Restaurants,Nordstrom Grill,3Level
306,2024-09-02,Women's Apparel,Nordstrom Rack,W324
307,2024-09-02,Mall of America® Gift Cards,North Food Cart,UNickelodeon
308,2024-09-02,Mall of America® Gift Cards,North Self-Service Ticketing,UNickelodeon
309,2024-09-02,Mall of America® Gift Cards,Northeast Food Cart,UNickelodeon
310,2024-09-02,Sweets + Treats,Northwoods Candy Emporium,N312
311,2024-09-02,Sweets + Treats,Nothing Bundt Cakes®,N294
312,2024-09-02,Health + Beauty,NULEEV CBD,W286
313,2024-09-02,Eyewear,Oakley,N107
314,2024-09-02,Eyewear,Oakley,N260
315,2024-09-02,Women's Apparel,OFFL/NE™ by Aerie,S162
316,2024-09-02,Children's Apparel,Oh Baby!,N284
317,2024-09-02,Women's Apparel,Old Navy,E138
318,2024-09-02,Services,Old Time Photos,N374
319,2024-09-02,Attractions + Entertainment,Onionhead's Revenge,S200
320,2024-09-02,Food Court,OPA! of Greece,S385B
321,2024-09-02,Sweets + Treats,Oppa Sweets,W384
322,2024-09-02,Kids,PAC 1980,E247
323,2024-09-02,Women's Apparel,PacSun,E246
324,2024-09-02,Food Court,Panda Express,C370
325,2024-09-02,Food Court,Panda Express,S374
326,2024-09-02,Jewelry + Watches,Pandora Jewelry,N127
327,2024-09-02,Jewelry + Watches,Pandora Jewelry @ Macy's,S4000
328,2024-09-02,Fast Casual,Panera Bread,S316
329,2024-09-02,Books + Cards + Gifts,Paper Source,N116
330,2024-09-02,Services,Parkview Meeting + Event Center,C5204
331,2024-09-02,Home,Pepper Palace,N345
332,2024-09-02,Mall of America® Gift Cards,Pepsi Orange Streak Photo,UNickelodeon
333,2024-09-02,Health + Beauty,Perfumania,N219
334,2024-09-02,Jewelry + Watches,Persepolis,W383
335,2024-09-02,Food Court,Piada Italian Street Food,N326
336,2024-09-02,Women's Apparel,Pink,W220
337,2024-09-02,Fast Casual,Popeyes Louisiana Kitchen,S391
338,2024-09-02,Food Court,Poukei,C380
339,2024-09-02,Accessories,Prada Accessories @ Nordstrom,N1000
340,2024-09-02,Health + Beauty,Princess & Diva Kids Fun Spa,E368
341,2024-09-02,Women's Apparel,Pro Image Sports,N258
342,2024-09-02,Men's Apparel,Psycho Bunny,W160
343,2024-09-02,Shoes,Puff Sneaks North,N6102
344,2024-09-02,Shoes,Puff Sneaks West,W6108
345,2024-09-02,Toys + Games + Hobbies,Puma Weavings,UNickelodeon
346,2024-09-02,Home,Purple Mattress,S108
347,2024-09-02,Food Court,Qdoba,C364
348,2024-09-02,Hotels,Radisson Blu Hotel,K2100
349,2024-09-02,Women's Apparel,Ragstock,N144
350,2024-09-02,Women's Apparel,Ragstock,S276
351,2024-09-02,Men's Apparel,Rainbow,E309
352,2024-09-02,Full Service Restaurants,Rainforest Cafe,S306
353,2024-09-02,Health + Beauty,Relaxing Massage,N367
354,2024-09-02,Attractions + Entertainment,Rick Bronson's House of Comedy,E408
355,2024-09-02,Jewelry + Watches,Riddle's Jewelry,S292
356,2024-09-02,Toys + Games + Hobbies,Ridemakerz,E152
357,2024-09-02,Mall of America® Gift Cards,Rock Bottom Plunge Photo,UNickelodeon
358,2024-09-02,Attractions + Entertainment,Rock of Ages Blacklight Minigolf,E336
359,2024-09-02,Sweets + Treats,Rocket Fizz,E148
360,2024-09-02,Sweets + Treats,Rocky Mountain Chocolate Factory,E128
361,2024-09-02,Jewelry + Watches,Rolex at Watches of Switzerland,W136A
362,2024-09-02,Services,Rowan,S158
363,2024-09-02,Men's Apparel,Royalty Apparel,W368
364,2024-09-02,Food Court,Ruby Thai Kitchen,S379
