Original_Address,Direction,Direction_Full,Floor,Room
S306,S,South,3,06
N123,N,North,1,23
S226,S,South,2,26
C310,C,Center,3,10
S104,S,South,1,04
E264,E,East,2,64
N304,N,North,3,04
S234,S,South,2,34
W164,W,West,1,64
N121,N,North,1,21
E106,E,East,1,06
S256,S,South,2,56
S106,S,South,1,06
W118,W,West,1,18
N374,N,North,3,74
W310,W,West,3,10
N103,N,North,1,03
W244,W,West,2,44
C106,C,Center,1,06
N254,N,North,2,54
E125,E,East,1,25
N205,N,North,2,05
N210,N,North,2,10
E312,E,East,3,12
W145,W,West,1,45
W115,W,West,1,15
N341,N,North,3,41
C332,C,Center,3,32
E205,E,East,2,05
C354,C,Center,3,54
N138,N,North,1,38
E334,E,East,3,34
N351,N,North,3,51
C118,C,Center,1,18
C218,C,Center,2,18
N149,N,North,1,49
W116,W,West,1,16
E332,E,East,3,32
C281,C,Center,2,81
W227,W,West,2,27
N284,N,North,2,84
E309,E,East,3,09
E220,E,East,2,20
S339,S,South,3,39
S105,S,South,1,05
S173,S,South,1,73
E215,E,East,2,15
W165,W,West,1,65
S204,S,South,2,04
