domain_id,domain,email_count,sender_count,first_seen,last_seen
21,e-rewards.dominos.com,1,1,2024-11-02 17:03:20+00:00,2024-11-02 17:03:20+00:00
22,e.davidsbridal.com,1,1,2014-12-10 17:10:39+00:00,2014-12-10 17:10:39+00:00
23,e.epiqnotice.com,1,1,2026-06-14 16:10:15+00:00,2026-06-14 16:10:15+00:00
24,e.miro.com,2,1,2022-06-02 14:39:43+00:00,2023-10-11 15:31:10+00:00
25,e.newyorktimes.com,27,1,2023-09-30 22:05:04+00:00,2026-06-20 23:38:22+00:00
26,e.target.com,19,2,2017-01-20 17:16:27+00:00,2017-11-22 13:54:58+00:00
27,e.xbox.com,2,1,2024-12-17 14:14:48+00:00,2025-02-18 21:58:59+00:00
28,e1.llbean.com,9,1,2024-01-22 17:09:00+00:00,2024-06-07 00:01:07+00:00
29,e4.llbean.com,2,1,2024-06-17 00:03:44+00:00,2024-08-01 13:01:34+00:00
30,em.art.com,5,1,2018-09-17 16:18:09+00:00,2019-01-21 19:01:57+00:00
31,em.sherwin-williams.com,1,1,2022-09-09 15:44:33+00:00,2022-09-09 15:44:33+00:00
32,em.target.com,13,1,2017-09-04 16:23:59+00:00,2018-08-04 12:48:12+00:00
33,email-aaaminneapolis.com,4,1,2020-10-30 12:31:07+00:00,2021-04-08 19:01:04+00:00
34,email.ancestry.com,1,1,2022-10-07 20:50:07+00:00,2022-10-07 20:50:07+00:00
35,email.cafezupas.com,8,1,2024-10-31 16:32:02+00:00,2025-03-06 17:49:23+00:00
36,email.jjill.com,1,1,2020-06-17 14:09:00+00:00,2020-06-17 14:09:00+00:00
37,email.macys.com,11,1,2014-02-21 14:34:00+00:00,2015-03-21 12:31:43+00:00
38,email.microsoft.com,1,1,2020-10-13 22:03:32+00:00,2020-10-13 22:03:32+00:00
39,email.shipt.com,8,1,2020-05-06 13:38:30+00:00,2021-01-24 14:49:38+00:00
40,email.thecompanystore.com,2,2,2022-07-13 21:00:00+00:00,2022-08-20 13:45:03+00:00
