email_id,label
63,Unread
63,Personal
64,Archived
64,Spam
64,Category Promotions
64,Unread
64,Personal
65,Archived
65,Spam
65,Category Promotions
65,Unread
65,Personal
66,Archived
66,Spam
66,Category Promotions
66,Unread
66,Personal
67,Archived
67,Spam
67,Category Promotions
67,Unread
67,Personal
68,Archived
68,Spam
68,Category Updates
68,Unread
68,Personal
69,Archived
69,Spam
69,Category Promotions
69,Unread
69,Personal
70,Archived
70,Spam
70,Category Promotions
70,Unread
70,Personal
71,Archived
71,Spam
71,Category Updates
71,Unread
71,Personal
72,Archived
72,Spam
72,Category Promotions
72,Unread
72,Personal
73,Archived
73,Spam
73,Category Promotions
73,Unread
73,Personal
74,Archived
74,Spam
74,Category Promotions
74,Unread
74,Personal
75,Archived
75,Spam
75,Category Updates
75,Unread
75,Personal
76,Archived
76,Spam
76,Category Promotions
76,Unread
76,Personal
77,Archived
77,Spam
77,Category Promotions
77,Unread
77,Personal
78,Archived
78,Spam
78,Category Promotions
78,Unread
78,Personal
79,Archived
79,Spam
79,Category Promotions
79,Unread
79,Personal
80,Archived
80,Spam
80,Category Promotions
80,Unread
80,Personal
81,Archived
81,Spam
81,Category Promotions
81,Unread
81,Personal
82,Archived
82,Spam
82,Category Updates
82,Unread
82,Personal
83,Archived
83,Spam
83,Category Promotions
83,Unread
83,Personal
84,Archived
84,Spam
84,Category Promotions
84,Unread
84,Personal
85,Archived
85,Spam
85,Category Promotions
85,Unread
85,Personal
86,Archived
86,Spam
86,Category Promotions
86,Unread
86,Personal
87,Archived
87,Spam
87,Category Updates
87,Unread
87,Personal
88,Archived
88,Spam
88,Category Updates
88,Unread
88,Personal
89,Archived
89,Spam
89,Category Updates
89,Unread
89,Personal
90,Inbox
90,Category Promotions
90,Unread
91,Inbox
91,Category Promotions
91,Unread
92,Inbox
92,Category Promotions
92,Unread
93,Inbox
93,Category Promotions
93,Unread
94,Inbox
94,Category Promotions
94,Unread
95,Inbox
95,Category Promotions
95,Unread
96,Inbox
96,Category Promotions
96,Unread
97,Inbox
97,Category Promotions
97,Unread
98,Inbox
98,Category Promotions
98,Unread
99,Inbox
99,Category Promotions
99,Unread
100,Inbox
100,Category Promotions
100,Unread
101,Inbox
101,Category Promotions
101,Unread
102,Inbox
102,Category Promotions
102,Unread
103,Inbox
103,Category Promotions
103,Unread
104,Inbox
104,Category Promotions
104,Unread
105,Inbox
105,Category Promotions
105,Unread
106,Archived
106,Category Promotions
106,Unread
106,Personal
107,Inbox
107,Category Promotions
107,Unread
108,Inbox
108,Category Promotions
108,Unread
109,Inbox
109,Category Promotions
109,Unread
110,Inbox
110,Category Promotions
110,Unread
111,Inbox
111,Category Promotions
111,Unread
112,Inbox
112,Category Promotions
112,Unread
113,Inbox
113,Category Promotions
113,Unread
114,Inbox
114,Category Promotions
114,Unread
115,Archived
115,Category Promotions
115,Unread
115,Personal
116,Inbox
116,Category Promotions
116,Unread
117,Inbox
117,Category Promotions
117,Unread
118,Inbox
118,Category Promotions
118,Unread
119,Inbox
119,Category Promotions
119,Unread
120,Inbox
120,Category Promotions
120,Unread
121,Inbox
121,Category Promotions
121,Unread
122,Inbox
122,Category Promotions
122,Unread
123,Inbox
123,Category Promotions
123,Unread
124,Inbox
124,Category Promotions
124,Unread
125,Inbox
125,Category Promotions
125,Unread
126,Inbox
126,Category Promotions
126,Unread
127,Inbox
127,Category Promotions
127,Unread
128,Inbox
128,Category Promotions
128,Unread
129,Inbox
129,Category Promotions
129,Unread
130,Inbox
130,Category Promotions
130,Unread
131,Inbox
131,Category Promotions
131,Unread
132,Inbox
132,Category Promotions
132,Unread
133,Inbox
133,Category Promotions
133,Unread
134,Inbox
134,Category Promotions
134,Unread
135,Inbox
135,Category Promotions
135,Unread
136,Inbox
136,Category Promotions
136,Unread
137,Inbox
137,Category Promotions
137,Unread
138,Inbox
138,Category Promotions
138,Unread
139,Inbox
139,Category Promotions
139,Unread
140,Inbox
140,Category Promotions
140,Unread
141,Inbox
141,Category Promotions
141,Unread
142,Inbox
142,Category Promotions
142,Unread
143,Inbox
143,Category Promotions
143,Unread
144,Inbox
144,Category Promotions
144,Unread
145,Inbox
145,Category Promotions
145,Unread
146,Inbox
146,Category Promotions
146,Unread
147,Archived
147,Category Promotions
147,Unread
147,Personal
148,Archived
148,Category Promotions
148,Unread
148,Personal
149,Inbox
149,Category Promotions
149,Unread
150,Inbox
150,Category Promotions
150,Unread
151,Inbox
151,Category Promotions
151,Unread
152,Inbox
152,Category Promotions
152,Unread
153,Inbox
153,Category Promotions
153,Unread
154,Inbox
154,Category Promotions
154,Unread
155,Inbox
155,Category Promotions
155,Unread
156,Inbox
156,Category Promotions
156,Unread
157,Inbox
157,Category Promotions
157,Unread
158,Inbox
158,Category Promotions
158,Unread
159,Archived
159,Category Promotions
159,Unread
159,Personal
160,Inbox
160,Category Promotions
160,Unread
161,Inbox
161,Category Promotions
161,Unread
162,Archived
162,Category Promotions
162,Unread
162,Personal
163,Archived
163,Category Promotions
163,Unread
163,Personal
164,Archived
164,Category Promotions
164,Unread
164,Personal
165,Inbox
165,Category Promotions
165,Unread
166,Inbox
166,Category Promotions
166,Unread
167,Inbox
167,Category Promotions
167,Unread
168,Inbox
168,Category Promotions
168,Unread
169,Inbox
169,Category Promotions
169,Unread
170,Inbox
170,Category Promotions
170,Unread
171,Inbox
171,Category Promotions
171,Unread
172,Archived
172,Category Promotions
172,Unread
172,Personal
173,Inbox
173,Category Promotions
173,Unread
174,Inbox
174,Category Promotions
174,Unread
175,Inbox
175,Category Promotions
175,Unread
176,Inbox
176,Category Promotions
176,Unread
177,Archived
177,Category Promotions
177,Unread
177,Personal
178,Archived
178,Category Promotions
178,Unread
178,Personal
179,Archived
179,Category Promotions
179,Unread
179,Personal
180,Archived
180,Category Promotions
